,id,country
0,Not found,Bolivia
1,Not found,Congo (Brazzaville)
2,Not found,Congo (Kinshasa)
3,Not found,Czech Republic
4,Not found,Hong Kong S.A.R. of China
5,Not found,Iran
6,Not found,Ivory Coast
7,Not found,Kosovo
8,Not found,Laos
9,Not found,Moldova
10,Not found,North Cyprus
11,Not found,Palestinian Territories
12,Not found,Russia
13,Not found,Somaliland region
14,Not found,South Korea
15,Not found,Swaziland
16,Not found,Syria
17,Not found,Taiwan Province of China
18,Not found,Tanzania
19,Not found,Venezuela
20,Not found,Vietnam
